date,regime_zone,signal_score
2022-02-16,RISK-OFF,-14.9147
2022-02-17,RISK-OFF,-54.4391
2022-02-18,EUPHORIA,13.1833
2022-02-22,EUPHORIA,26.0533
2022-02-23,RISK-OFF,-25.7856
2022-02-24,RISK-OFF,-69.6615
2022-02-25,EUPHORIA,55.5447
2022-02-28,NEUTRAL,1.3901
2022-03-01,RISK-OFF,-48.9653
2022-03-02,EUPHORIA,45.6307
2022-03-03,EUPHORIA,65.54
2022-03-04,RISK-OFF,-62.9953
2022-03-07,RISK-OFF,-83.3783
2022-03-08,EUPHORIA,49.3761
2022-03-09,EUPHORIA,91.6677
2022-03-10,RISK-OFF,-17.0361
2022-03-11,RISK-OFF,-90.705
2022-03-14,RISK-OFF,-42.7526
2022-03-15,RISK-OFF,-41.0238
2022-03-16,EUPHORIA,69.6315
2022-03-17,EUPHORIA,35.3768
2022-03-18,EUPHORIA,77.6296
2022-03-21,EUPHORIA,54.6731
2022-03-22,RISK-ON,6.3457
2022-03-23,EUPHORIA,35.8695
2022-03-24,NEUTRAL,0.3287
2022-03-25,EUPHORIA,19.8945
2022-03-28,NEUTRAL,-1.5609
2022-03-29,EUPHORIA,61.0535
2022-03-30,RISK-OFF,-44.3085
2022-03-31,RISK-OFF,-9.7951
2022-04-01,EUPHORIA,88.028
2022-04-04,EUPHORIA,22.7803
2022-04-05,RISK-OFF,-120.2281
2022-04-06,RISK-OFF,-56.2848
2022-04-07,RISK-OFF,-39.3358
2022-04-08,EUPHORIA,14.9068
2022-04-11,RISK-OFF,-68.5932
2022-04-12,RISK-OFF,-11.6438
2022-04-13,RISK-OFF,-42.3405
2022-04-14,RISK-OFF,-57.7738
2022-04-18,RISK-OFF,-34.1434
2022-04-19,EUPHORIA,51.9535
2022-04-20,EUPHORIA,41.0254
2022-04-21,RISK-OFF,-71.7089
2022-04-22,RISK-OFF,-59.7243
2022-04-25,RISK-OFF,-98.6139
2022-04-26,RISK-OFF,-104.2651
2022-04-27,RISK-OFF,-9.5162
2022-04-28,EUPHORIA,80.7425
2022-04-29,RISK-OFF,-89.471
2022-05-02,RISK-OFF,-123.227
2022-05-03,EUPHORIA,22.3732
2022-05-04,NEUTRAL,3.3795
2022-05-05,RISK-OFF,-141.6903
2022-05-06,EUPHORIA,39.9173
2022-05-09,EUPHORIA,14.8352
2022-05-10,CAUTION,-4.0736
2022-05-11,RISK-OFF,-26.1756
2022-05-12,EUPHORIA,45.7288
2022-05-13,EUPHORIA,71.4229
2022-05-16,CAUTION,-5.5263
2022-05-17,EUPHORIA,37.8634
2022-05-18,RISK-OFF,-82.7346
2022-05-19,EUPHORIA,62.8393
2022-05-20,EUPHORIA,75.9301
2022-05-23,EUPHORIA,28.9969
2022-05-24,RISK-OFF,-10.9044
2022-05-25,RISK-OFF,-11.4691
