date,snap_t,ticker,sector,side,entry_px,vwap_dev_z,hour_balance_dev_z,range_pctile,atr_14,exit_px,exit_reason,pnl_pct_gross,pnl_pct_net_s1
2022-12-23,11:00:00,DRREDDY,Pharma,LONG,4340.9502,-2.1991,-1.4164,77.73,17.5089,4310.3097,STOP,-0.007058,-0.010058
2022-12-23,11:45:00,NAUKRI,IT_Services,LONG,3909.6001,-2.1952,-1.2597,84.09,25.3440,3894.4500,TIME_STOP,-0.003875,-0.006875
2022-12-26,11:30:00,BAJFINANCE,NBFC_HFC,SHORT,6431.8999,2.7088,2.0244,66.36,12.7075,6442.0000,TIME_STOP,-0.001570,-0.004570
2022-12-27,11:15:00,BAJFINANCE,NBFC_HFC,SHORT,6496.1499,2.7810,2.1646,18.18,13.1780,6519.2114,STOP,-0.003550,-0.006550
2022-12-27,10:00:00,KOTAKBANK,Banks,LONG,1807.5000,-2.0226,-1.9922,50.00,5.5465,1816.7500,TIME_STOP,0.005118,0.002118
2022-12-29,13:45:00,BAJFINANCE,NBFC_HFC,SHORT,6450.8999,2.0148,1.6304,0.00,12.9107,6473.4937,STOP,-0.003502,-0.006502
2022-12-30,11:00:00,BAJFINANCE,NBFC_HFC,SHORT,6689.2500,3.1807,3.7653,84.75,12.8411,6711.7219,STOP,-0.003359,-0.006359
2022-12-30,10:30:00,COFORGE,IT_Services,LONG,3952.4500,-2.2911,-1.8322,74.55,22.3360,3913.3620,STOP,-0.009890,-0.012890
2023-01-02,12:15:00,BAJFINANCE,NBFC_HFC,SHORT,6558.9502,2.2034,1.3708,49.78,13.2772,6582.1853,STOP,-0.003542,-0.006542
2023-01-02,12:45:00,COFORGE,IT_Services,SHORT,3920.0000,2.4588,1.3029,61.06,24.1967,3935.6001,TIME_STOP,-0.003980,-0.006980
2023-01-03,12:15:00,BAJFINANCE,NBFC_HFC,LONG,6593.5000,-2.1919,-1.6372,57.08,13.1629,6620.7500,TIME_STOP,0.004133,0.001133
2023-01-04,12:00:00,NMDC,Metals_Mining,LONG,121.2000,-1.8528,-1.4173,88.60,0.9525,121.8500,TIME_STOP,0.005363,0.002363
2023-01-12,10:00:00,KOTAKBANK,Banks,LONG,1786.4000,-1.8738,-2.0096,35.09,4.9263,1777.7790,STOP,-0.004826,-0.007826
2023-01-12,11:30:00,NAUKRI,IT_Services,SHORT,3750.9500,2.3131,1.3143,69.30,19.8205,3728.8999,TIME_STOP,0.005879,0.002879
2023-01-13,12:45:00,BAJFINANCE,NBFC_HFC,SHORT,5952.0498,2.7796,1.8398,19.65,15.7896,5962.2998,TIME_STOP,-0.001722,-0.004722
2023-01-13,13:00:00,KOTAKBANK,Banks,SHORT,1779.3000,2.1202,1.7986,40.43,5.0317,1782.7000,TIME_STOP,-0.001911,-0.004911
2023-01-16,11:15:00,BAJFINANCE,NBFC_HFC,LONG,6014.0498,-2.0406,-1.2817,26.32,15.3894,5987.1184,STOP,-0.004478,-0.007478
2023-01-17,10:45:00,MCX,Capital_Markets,SHORT,1627.1500,1.9080,2.1203,83.98,8.5603,1617.6500,TIME_STOP,0.005838,0.002838
2023-01-17,12:30:00,CANBK,Banks,LONG,319.8000,-2.1600,-1.6193,40.52,1.8372,316.5848,STOP,-0.010054,-0.013054
2023-01-18,13:15:00,KOTAKBANK,Banks,LONG,1804.6500,-1.8716,-1.3130,44.64,5.0836,1801.0000,TIME_STOP,-0.002023,-0.005023
2023-01-19,10:45:00,MCX,Capital_Markets,LONG,1599.4000,-2.7681,-2.7155,69.10,9.0039,1597.3000,TIME_STOP,-0.001313,-0.004313
