trigger_id,ticker,sector,side,date,snap_t,entry_px,horizon_D,variant,exit_dt,exit_px,holding_days,outcome,bps_gross,bps_net_s1,bps_net_s1_on
,MCX,Capital_Markets,SHORT,2021-11-23,11:45:00,1766.150000,5,VWAP_TOUCH,2021-11-23 12:30:00,1740.704968,0,VWAP_TOUCH,144.0706,114.0706,114.0706
,MCX,Capital_Markets,SHORT,2021-11-23,11:45:00,1766.150000,5,CLOSE,2021-11-30 15:25:00,1601.000000,5,FORCED_CLOSE,935.0848,905.0848,880.0848
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,0,VWAP_TOUCH,2021-11-26 11:30:00,1689.282343,0,VWAP_TOUCH,109.7121,79.7121,79.7121
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,0,CLOSE,2021-11-26 15:25:00,1667.050048,0,FORCED_CLOSE,-23.3397,-53.3397,-53.3397
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,1,VWAP_TOUCH,2021-11-26 11:30:00,1689.282343,0,VWAP_TOUCH,109.7121,79.7121,79.7121
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,1,CLOSE,2021-11-29 15:25:00,1630.000000,1,FORCED_CLOSE,-245.0702,-275.0702,-280.0702
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,2,VWAP_TOUCH,2021-11-26 11:30:00,1689.282343,0,VWAP_TOUCH,109.7121,79.7121,79.7121
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,2,CLOSE,2021-11-30 15:25:00,1601.000000,2,FORCED_CLOSE,-418.6241,-448.6241,-458.6241
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,3,VWAP_TOUCH,2021-11-26 11:30:00,1689.282343,0,VWAP_TOUCH,109.7121,79.7121,79.7121
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,3,CLOSE,2021-12-01 15:25:00,1589.750000,3,FORCED_CLOSE,-485.9511,-515.9511,-530.9511
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,4,VWAP_TOUCH,2021-11-26 11:30:00,1689.282343,0,VWAP_TOUCH,109.7121,79.7121,79.7121
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,4,CLOSE,2021-12-02 15:25:00,1655.000000,4,FORCED_CLOSE,-95.4547,-125.4547,-145.4547
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,5,VWAP_TOUCH,2021-11-26 11:30:00,1689.282343,0,VWAP_TOUCH,109.7121,79.7121,79.7121
,MCX,Capital_Markets,LONG,2021-11-26,10:45:00,1670.950000,5,CLOSE,2021-12-03 15:25:00,1617.000000,5,FORCED_CLOSE,-322.8702,-352.8702,-377.8702
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,0,VWAP_TOUCH,2022-01-28 15:25:00,1561.099975,0,FORCE_CLOSE_NO_TOUCH,-95.1718,-125.1718,-125.1718
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,0,CLOSE,2022-01-28 15:25:00,1561.099975,0,FORCED_CLOSE,-95.1718,-125.1718,-125.1718
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,1,VWAP_TOUCH,2022-01-31 09:20:00,1560.966674,1,VWAP_TOUCH,-96.0175,-126.0175,-131.0175
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,1,CLOSE,2022-01-31 15:25:00,1538.500000,1,FORCED_CLOSE,-238.5635,-268.5635,-273.5635
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,2,VWAP_TOUCH,2022-01-31 09:20:00,1560.966674,1,VWAP_TOUCH,-96.0175,-126.0175,-131.0175
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,2,CLOSE,2022-02-01 15:25:00,1536.000000,2,FORCED_CLOSE,-254.4255,-284.4255,-294.4255
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,3,VWAP_TOUCH,2022-01-31 09:20:00,1560.966674,1,VWAP_TOUCH,-96.0175,-126.0175,-131.0175
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,3,CLOSE,2022-02-02 15:25:00,1541.000000,3,FORCED_CLOSE,-222.7016,-252.7016,-267.7016
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,4,VWAP_TOUCH,2022-01-31 09:20:00,1560.966674,1,VWAP_TOUCH,-96.0175,-126.0175,-131.0175
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,4,CLOSE,2022-02-03 15:25:00,1462.900024,4,FORCED_CLOSE,-718.2284,-748.2284,-768.2284
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,5,VWAP_TOUCH,2022-01-31 09:20:00,1560.966674,1,VWAP_TOUCH,-96.0175,-126.0175,-131.0175
,MCX,Capital_Markets,LONG,2022-01-28,14:00:00,1576.100000,5,CLOSE,2022-02-04 15:25:00,1424.949951,5,FORCED_CLOSE,-959.0131,-989.0131,-1014.0131
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,0,VWAP_TOUCH,2022-02-16 15:20:00,1418.276817,0,VWAP_TOUCH,32.8415,2.8415,2.8415
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,0,CLOSE,2022-02-16 15:25:00,1418.000000,0,FORCED_CLOSE,34.7869,4.7869,4.7869
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,1,VWAP_TOUCH,2022-02-16 15:20:00,1418.276817,0,VWAP_TOUCH,32.8415,2.8415,2.8415
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,1,CLOSE,2022-02-17 15:25:00,1418.000000,1,FORCED_CLOSE,34.7869,4.7869,-0.2131
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,2,VWAP_TOUCH,2022-02-16 15:20:00,1418.276817,0,VWAP_TOUCH,32.8415,2.8415,2.8415
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,2,CLOSE,2022-02-18 15:25:00,1401.949951,2,FORCED_CLOSE,147.5811,117.5811,107.5811
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,3,VWAP_TOUCH,2022-02-16 15:20:00,1418.276817,0,VWAP_TOUCH,32.8415,2.8415,2.8415
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,3,CLOSE,2022-02-21 15:25:00,1376.250000,3,FORCED_CLOSE,328.1914,298.1914,283.1914
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,4,VWAP_TOUCH,2022-02-16 15:20:00,1418.276817,0,VWAP_TOUCH,32.8415,2.8415,2.8415
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,4,CLOSE,2022-02-22 15:25:00,1315.750000,4,FORCED_CLOSE,753.3645,723.3645,703.3645
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,5,VWAP_TOUCH,2022-02-16 15:20:00,1418.276817,0,VWAP_TOUCH,32.8415,2.8415,2.8415
,MCX,Capital_Markets,SHORT,2022-02-16,13:15:00,1422.950000,5,CLOSE,2022-02-23 15:25:00,1289.750000,5,FORCED_CLOSE,936.0835,906.0835,881.0835
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,0,VWAP_TOUCH,2022-02-21 13:25:00,1391.950748,0,VWAP_TOUCH,118.8986,88.8986,88.8986
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,0,CLOSE,2022-02-21 15:25:00,1376.250000,0,FORCED_CLOSE,230.3542,200.3542,200.3542
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,1,VWAP_TOUCH,2022-02-21 13:25:00,1391.950748,0,VWAP_TOUCH,118.8986,88.8986,88.8986
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,1,CLOSE,2022-02-22 15:25:00,1315.750000,1,FORCED_CLOSE,659.8282,629.8282,624.8282
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,2,VWAP_TOUCH,2022-02-21 13:25:00,1391.950748,0,VWAP_TOUCH,118.8986,88.8986,88.8986
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,2,CLOSE,2022-02-23 15:25:00,1289.750000,2,FORCED_CLOSE,844.3955,814.3955,804.3955
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,3,VWAP_TOUCH,2022-02-21 13:25:00,1391.950748,0,VWAP_TOUCH,118.8986,88.8986,88.8986
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,3,CLOSE,2022-02-24 15:25:00,1175.000000,3,FORCED_CLOSE,1658.9764,1628.9764,1613.9764
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,4,VWAP_TOUCH,2022-02-21 13:25:00,1391.950748,0,VWAP_TOUCH,118.8986,88.8986,88.8986
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,4,CLOSE,2022-02-25 15:25:00,1264.650024,4,FORCED_CLOSE,1022.5738,992.5738,972.5738
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,5,VWAP_TOUCH,2022-02-21 13:25:00,1391.950748,0,VWAP_TOUCH,118.8986,88.8986,88.8986
,MCX,Capital_Markets,SHORT,2022-02-21,11:30:00,1408.700000,5,CLOSE,2022-02-28 15:25:00,1270.500000,5,FORCED_CLOSE,981.0464,951.0464,926.0464
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,0,VWAP_TOUCH,2022-04-18 14:25:00,1380.682137,0,VWAP_TOUCH,49.3641,19.3641,19.3641
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,0,CLOSE,2022-04-18 15:25:00,1384.000000,0,FORCED_CLOSE,73.5134,43.5134,43.5134
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,1,VWAP_TOUCH,2022-04-18 14:25:00,1380.682137,0,VWAP_TOUCH,49.3641,19.3641,19.3641
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,1,CLOSE,2022-04-19 15:25:00,1327.500000,1,FORCED_CLOSE,-337.7247,-367.7247,-372.7247
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,2,VWAP_TOUCH,2022-04-18 14:25:00,1380.682137,0,VWAP_TOUCH,49.3641,19.3641,19.3641
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,2,CLOSE,2022-04-20 15:25:00,1343.250000,2,FORCED_CLOSE,-223.0876,-253.0876,-263.0876
,MCX,Capital_Markets,LONG,2022-04-18,10:15:00,1373.900000,3,VWAP_TOUCH,2022-04-18 14:25:00,1380.682137,0,VWAP_TOUCH,49.3641,19.3641,19.3641
