symbol,event_date,horizon,regime,direction_proxy,trust_tier,entry_S,exit_S,call_entry_premium,call_exit,put_entry_premium,put_exit,straddle_entry_premium,straddle_exit,pnl_futures_bps,pnl_long_call_bps,pnl_long_put_bps,pnl_long_straddle_bps,call_premium_pct_S,put_premium_pct_S
AUBANK,2023-10-30,21,NEUTRAL,MISS_LIKE,HIGH,688.16,746.15,17.18,57.99,12.99,0.0,30.17,57.99,842.63,23750.27,-10000.0,9220.24,2.497,1.887
AUBANK,2024-01-25,1,RISK-ON,MISS_LIKE,HIGH,735.18,705.86,27.27,13.44,22.79,38.48,50.05,51.92,-398.78,-5071.11,6887.41,373.07,3.709,3.099
AUBANK,2024-01-25,3,RISK-ON,MISS_LIKE,HIGH,735.18,623.49,27.27,0.44,22.79,108.26,50.05,108.7,-1519.16,-9837.56,37510.2,11717.78,3.709,3.099
AUBANK,2024-01-25,5,RISK-ON,MISS_LIKE,HIGH,735.18,633.17,27.27,0.53,22.79,99.08,50.05,99.6,-1387.59,-9807.07,33480.04,9899.63,3.709,3.099
AUBANK,2024-01-25,10,RISK-ON,MISS_LIKE,HIGH,735.18,593.93,27.27,0.0,22.79,138.81,50.05,138.82,-1921.33,-9998.27,50918.2,17734.3,3.709,3.099
AUBANK,2024-01-25,21,RISK-ON,MISS_LIKE,HIGH,735.18,598.27,27.27,0.0,22.79,136.91,50.05,136.91,-1862.33,-10000.0,50086.08,17354.53,3.709,3.099
AUBANK,2024-04-24,1,NEUTRAL,BEAT_LIKE,HIGH,607.79,617.21,19.46,24.52,15.75,11.56,35.21,36.09,155.05,2603.41,-2659.85,248.53,3.201,2.592
AUBANK,2024-04-24,3,NEUTRAL,BEAT_LIKE,HIGH,607.79,598.12,19.46,13.15,15.75,19.62,35.21,32.77,-159.15,-3241.86,2455.77,-692.64,3.201,2.592
AUBANK,2024-04-24,5,NEUTRAL,BEAT_LIKE,HIGH,607.79,631.82,19.46,32.71,15.75,5.81,35.21,38.52,395.41,6809.96,-6311.39,939.24,3.201,2.592
AUBANK,2024-04-24,10,NEUTRAL,BEAT_LIKE,HIGH,607.79,623.1,19.46,23.58,15.75,6.25,35.21,29.83,251.85,2119.91,-6031.51,-1527.18,3.201,2.592
AUBANK,2024-04-24,21,NEUTRAL,BEAT_LIKE,HIGH,607.79,618.91,19.46,11.12,15.75,0.0,35.21,11.12,182.94,-4285.41,-10000.0,-6842.21,3.201,2.592
AXISBANK,2022-01-24,1,CAUTION,BEAT_LIKE,HIGH,709.54,701.67,21.43,16.84,17.11,20.58,38.54,37.42,-110.88,-2142.78,2028.95,-290.89,3.02,2.411
AXISBANK,2022-01-24,3,CAUTION,BEAT_LIKE,HIGH,709.54,770.63,21.43,66.58,17.11,1.75,38.54,68.32,861.05,21066.11,-8979.31,7728.51,3.02,2.411
AXISBANK,2022-01-24,5,CAUTION,BEAT_LIKE,HIGH,709.54,769.84,21.43,65.11,17.11,1.47,38.54,66.58,849.82,20381.87,-9141.48,7276.02,3.02,2.411
AXISBANK,2022-01-24,10,CAUTION,BEAT_LIKE,HIGH,709.54,786.32,21.43,79.38,17.11,0.23,38.54,79.61,1082.1,27038.52,-9862.88,10657.45,3.02,2.411
AXISBANK,2022-01-24,21,CAUTION,BEAT_LIKE,HIGH,709.54,775.91,21.43,66.37,17.11,0.0,38.54,66.37,935.44,20971.33,-10000.0,7222.7,3.02,2.411
AXISBANK,2022-04-28,1,RISK-ON,BEAT_LIKE,HIGH,762.72,776.56,20.9,28.81,16.26,10.53,37.16,39.33,181.49,3781.07,-3523.63,585.46,2.741,2.131
AXISBANK,2022-04-28,3,RISK-ON,BEAT_LIKE,HIGH,762.72,724.33,20.9,4.88,16.26,39.26,37.16,44.14,-503.33,-7663.86,14149.86,1879.06,2.741,2.131
AXISBANK,2022-04-28,5,RISK-ON,BEAT_LIKE,HIGH,762.72,699.43,20.9,1.07,16.26,60.76,37.16,61.84,-829.74,-9487.42,27379.31,6640.8,2.741,2.131
AXISBANK,2022-04-28,10,RISK-ON,BEAT_LIKE,HIGH,762.72,646.95,20.9,0.0,16.26,113.23,37.16,113.23,-1517.82,-9999.37,59653.92,20472.11,2.741,2.131
AXISBANK,2022-04-28,21,RISK-ON,BEAT_LIKE,HIGH,762.72,685.44,20.9,0.0,16.26,77.28,37.16,77.28,-1013.19,-10000.0,37537.62,10796.46,2.741,2.131
AXISBANK,2022-07-25,1,RISK-ON,BEAT_LIKE,HIGH,728.82,725.43,21.64,19.28,17.2,18.43,38.83,37.7,-46.53,-1090.74,716.6,-290.4,2.969,2.359
