ticker,date,time,regime,days_in_regime,expected_return,actual_return,z_score,classification,action,pcr,pcr_class,oi_anomaly,oi_anomaly_type,trade_rec,trade_detail,event_geometry,direction_tested,direction_intended,direction_consistent,regime_zone,signal_id,actual_pnl_pct,actual_open_time_ist,actual_close_time_ist,actual_side,source,regime_history_value,open_price,peak_price,peak_minute,trough_price,trough_minute,close_price_15_30,price_at_14_30,peak_pct,trough_pct,close_pct,pct_at_14_30,range_first_15min,range_first_30min,peak_in_first_15min,trough_in_first_15min,validation,shape,cf_grid_avg_pnl_pct,cf_grid_avg_win,cf_best_grid_pnl_pct,cf_entry_0915_pnl_pct,cf_entry_0915_exit_reason,cf_entry_0915_exit_minute,cf_entry_0920_pnl_pct,cf_entry_0920_exit_reason,cf_entry_0920_exit_minute,cf_entry_0925_pnl_pct,cf_entry_0925_exit_reason,cf_entry_0925_exit_minute,cf_entry_0930_pnl_pct,cf_entry_0930_exit_reason,cf_entry_0930_exit_minute,cf_entry_0945_pnl_pct,cf_entry_0945_exit_reason,cf_entry_0945_exit_minute
VEDL,2026-04-24,12:03:36,CAUTION,1,-1.3,-3.61,-1.86,OPPORTUNITY_OVERSHOOT,ALERT,0.82,MILD_BEAR,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-VEDL-OPPORTUNITY_OVERSHOOT,,,,,missed,,734.95,731.55,1.0,708.3,167.0,721.0,717.0,-0.4626165045241296,-3.6260970134022843,-1.898088305326899,-2.442343016531743,1.4558813524729635,1.8436628342064179,True,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
ABCAPITAL,2026-04-24,14:00:53,CAUTION,1,-1.13,-3.14,-1.84,OPPORTUNITY_OVERSHOOT,ALERT,0.55,BEARISH,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-ABCAPITAL-OPPORTUNITY_OVERSHOOT,,,,,missed,,349.95,349.9,6.0,338.75,267.0,341.05,341.45,-0.01428775539363091,-3.200457208172593,-2.5432204600657173,-2.4289184169167024,1.2287469638519821,1.843120445777965,True,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
MUTHOOTFIN,2026-04-24,12:30:38,CAUTION,1,-0.67,-3.82,-1.79,OPPORTUNITY_OVERSHOOT,ALERT,0.67,BEARISH,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-24-MUTHOOTFIN-OPPORTUNITY_OVERSHOOT,,,,,missed,,3589.5,3571.9,3.0,3446.3,171.0,3494.0,3500.0,-0.49031898593118567,-3.989413567349208,-2.660537679342527,-2.493383479593258,1.4653851511352531,1.6325393508845218,True,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
ICICIPRULI,2026-04-24,15:30:39,CAUTION,1,-0.62,-3.87,-1.75,POSSIBLE_OPPORTUNITY,HOLD,0.93,NEUTRAL,False,,,,OVERSHOOT,FADE,NEUTRAL,,,MISSED-2026-04-24-ICICIPRULI-POSSIBLE_OPPORTUNITY,,,,,missed,,534.2,532.25,1.0,512.65,350.0,513.3,515.9,-0.3650318232871668,-4.034069636840147,-3.9123923624110986,-3.425683264694883,1.3478098090602855,1.4694870834893339,True,False,OK,ONE_WAY_DOWN,,False,,,,,,,,,,,,,,,,
HDFCAMC,2026-04-16,13:32:15,CAUTION,1,-0.53,-3.17,-1.73,POSSIBLE_OPPORTUNITY,HOLD,,NEUTRAL,False,,,,,,,,CAUTION,MISSED-2026-04-16-HDFCAMC-POSSIBLE_OPPORTUNITY,,,,,missed,CAUTION,2701.2,2719.6,2.0,2611.0,242.0,2657.8,2652.7,0.6811787353768729,-3.33925662668443,-1.6066933214867332,-1.7954982970531617,1.836220938841993,1.836220938841993,True,False,OK,REVERSE_V_HIGH,,False,,,,,,,,,,,,,,,,
RECLTD,2026-04-16,12:36:04,CAUTION,1,0.11,3.37,1.71,POSSIBLE_OPPORTUNITY,HOLD,,NEUTRAL,False,,,,,,,,CAUTION,MISSED-2026-04-16-RECLTD-POSSIBLE_OPPORTUNITY,,,,,missed,CAUTION,355.0,372.2,108.0,354.8,17.0,364.0,364.7,4.845070422535208,-0.05633802816901088,2.535211267605634,2.73239436619718,0.957746478873233,1.0281690140845006,False,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
GMRAIRPORT,2026-04-16,13:17:16,CAUTION,1,-0.27,-2.87,-1.7,POSSIBLE_OPPORTUNITY,HOLD,,NEUTRAL,False,,,,,,,,CAUTION,MISSED-2026-04-16-GMRAIRPORT-POSSIBLE_OPPORTUNITY,,,,,missed,CAUTION,99.3,99.48,3.0,96.41,265.0,96.75,96.51,0.18126888217523346,-2.910372608257805,-2.567975830815707,-2.809667673716004,1.6112789526686895,2.145015105740191,True,False,OK,ONE_WAY_DOWN,,False,,,,,,,,,,,,,,,,
TVSMOTOR,2026-04-16,13:17:16,CAUTION,1,-0.08,-2.3,-1.7,POSSIBLE_OPPORTUNITY,HOLD,,NEUTRAL,False,,,,,,,,CAUTION,MISSED-2026-04-16-TVSMOTOR-POSSIBLE_OPPORTUNITY,,,,,missed,CAUTION,3828.0,3815.0,2.0,3741.0,235.0,3770.0,3758.7,-0.3396029258098224,-2.272727272727273,-1.5151515151515151,-1.8103448275862117,0.8881922675026124,1.089341692789964,True,False,OK,CHOPPY,,False,,,,,,,,,,,,,,,,
ICICIPRULI,2026-04-25,15:30:41,CAUTION,1,-0.62,-3.74,-1.68,POSSIBLE_OPPORTUNITY,HOLD,0.93,NEUTRAL,False,,,,OVERSHOOT,FADE,NEUTRAL,,,MISSED-2026-04-25-ICICIPRULI-POSSIBLE_OPPORTUNITY,,,,,missed,,,,,,,,,,,,,,,,,BARS_INSUFFICIENT,INVALID,,False,,,,,,,,,,,,,,,,
WIPRO,2026-04-25,14:30:40,CAUTION,1,-0.64,-1.67,-1.67,OPPORTUNITY_OVERSHOOT,ALERT,0.41,BEARISH,False,,,,OVERSHOOT,FADE,NEUTRAL,False,,MISSED-2026-04-25-WIPRO-OPPORTUNITY_OVERSHOOT,,,,,missed,,,,,,,,,,,,,,,,,BARS_INSUFFICIENT,INVALID,,False,,,,,,,,,,,,,,,,
